,name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,region
221,kelly s creamy cheddar pea salad,312,20,113941,2005-06-09,"[4, 306, 80, 83, 230, 189, 248, 265, 10, 95, 183, 3]","[173.1, 13.0, 25.0, 11.0, 21.0, 24.0, 4.0]",5,"['in large bowl , combine mayo , relish , sugar , seas', 'salt and mustard', ""gently fold in rest of ingredients adding peas last so they don't get broken up and mushy"", 'chill', 'if you like it extra creamy , double the sauce']","i'm not a big fan of peas, but like them in things. this salad is one of my favorites. happy to share!","[506, 470, 167, 495, 143, 608, 130, 2, 638, 450]",10,north-american
232,loaded   deviled eggs,426,20,296809,2006-03-02,"[4, 306, 80, 176, 230, 197, 317, 12, 98, 95, 91, 105, 55, 97, 90, 167, 170, 42, 231, 260, 3]","[104.0, 12.0, 1.0, 4.0, 14.0, 14.0, 0.0]",4,"['transfer egg yolks from halves to mixing bowl & combine with remaining ingredients', 'add the sour cream or buttermilk last & use more as needed to reach desired smoothness', 'spoon yolk mixture into halves', 'the bulk will have grown substantially , so pile it high & ""dust"" with a sprinkle of paprika']","my icelandic hubby loves deviled eggs ... especially this version. leftovers are required as he likes the bacon/egg flavors with his breakfast cereal & coffee. i went through a lot of devilled egg recipes posted here to be sure it wasn't a duplicate & got some new ideas to try for him, but i'm sure this will stay his favorite. as the ingredients & name imply, the recipe takes the ""loaded baked potato"" approach to devilled eggs.","[441, 916, 962, 297, 897, 592, 542]",7,
254,pink stuff     cherry pie filling  pineapple dessert,206,5,343789,2006-11-21,"[2, 306, 80, 230, 197, 171, 88, 265, 95, 188, 27, 144, 156, 94, 90, 65, 304, 173, 170, 3, 301]","[338.9, 18.0, 150.0, 2.0, 8.0, 48.0, 18.0]",3,"['combine all ingredients and mix well', 'serve chilled', 'your family and friends will go nuts']",my husband and children would literally die without this for the holidays!  and it is so easy!  my husband says it is a side dish.  i say it is a dessert.,"[875, 836, 12, 637, 89, 673]",6,
278,south beach  stuffed bell peppers,241,30,172861,2006-01-10,"[4, 306, 80, 176, 230, 175, 315, 95, 90, 199, 213]","[287.9, 19.0, 37.0, 11.0, 56.0, 23.0, 5.0]",8,"['wash the peppers , cut the tops off , and place in oiled glass dish', 'cover and microwave the peppers for 5 minutes', 'saute the veggies and ground turkey with a dollop of olive oil', 'add the tomatoes and seasonings', 'cook for 3-4 minutes to evaporate some of the liquid', 'stuff the peppers and top with cheese', 'bake at 350 for 10 minutes or until the peppers are soft and the cheese is toasted', 'add ins: you could add cooked rice or stir in extra cheese to the mixture before baking']",this is a recipe i made up when i was in phase 1 of the south beach diet. my kids have begun to request it for supper!,"[861, 587, 966, 470, 790, 495, 63, 772, 688, 372, 39, 894]",12,
309,almost  boston market creamed spinach,217,50,89831,2003-11-21,"[7, 306, 80, 176, 230, 197, 265, 315, 90, 78, 166, 167, 170, 126, 280, 192]","[337.9, 43.0, 9.0, 24.0, 18.0, 84.0, 5.0]",14,"['in a saucepan melt butter over medium heat until sizzling', 'if you are adding in the fresh garlic and a pinch of cayenne pepper then saute in butter for about 2 minutes but do not brown the garlic', 'whisk in the flour and 1 / 2 tsp seasoned salt until creamed together and smooth', 'stir in the half and half , or milk a little at a time', 'increase heat to medium and constantly whisk until the mixture becomes thick and smooth', 'remove from heat', 'set aside', 'place 2 tbsp butter in saucepan over med heat', 'add the 2 tbsp minced onion , and cook until transparent', 'add spinach and water to pan , lower the heat , and cover', 'stirring several times until the spinach is cooked', 'when the spinach is almost done , add the prepared white sauce , sour cream and parmesan cheese', 'stir well , and simmer until completely blended', 'season with more seasoned salt or white salt if desired and black pepper']","this is quite similar to the creamed spinach at boston market, well so i'm told anyway! --- this is a great side dish, even people that hate spinach love this, it's great to serve along side a holiday turkey or a ham dinner, or at any meal --- i also like to saute about 2 teaspoons fresh minced garlic and a pinch of cayenne pepper in the butter for about 2 minutes before adding in the flour but that is optional, add in some grated parmesan cheese too if desired, this complete recipe can be doubled :)","[691, 1001, 225, 903, 592, 40, 101, 398, 669, 259]",10,
487,old reliable  french bread  for kitchen aid mixers,154,170,39949,2003-01-27,"[319, 306, 80, 176, 83, 230, 197, 110, 35, 113, 202, 102, 316, 123, 90, 74, 325, 206, 300, 101, 193, 5]","[113.5, 1.0, 0.0, 10.0, 6.0, 0.0, 7.0]",18,"['dissolve yeast in warm water in warmed mixer bowl', 'add salt , butter , and flour', 'attach bowl& dough hook to mixer , turn to speed 2 and mix about 1 minute or until well blended', 'knead on speed 2 about 2 minutes longer', 'dough will be sticky', 'put dough in large greased bowl , turning to coat', 'cover and let rise in warm place , free from draft , about 1 hour , or until doubled in bulk', 'punch dough down and divide in half', 'roll each half into 12"" x 15"" rectangle', 'roll dough tightly , from longest side , tapering ends , if needed / wanted', 'put loaves on greased baking sheets that have been dusted with cornmeal', 'cover and let rise in warm place , free from draft , about 1 hour , or until doubled in bulk', 'with sharp knife , make 4 diagonal cuts on top of each loaf', 'bake at 450f for 25 minutes , then remove from oven', 'beat egg white and water together and brush each loaf with this mix', 'return to the oven and bake 5 minutes longer', 'immediately remove from baking sheets and cool on wire racks', 'serve with your favorite spread such as herbed butter , garlic bread topping , etc']","this recipe came with my kitchen aid mixer, and makes two absolutely beautiful loaves of french bread. i misplaced my recipe book and recently found it again, so am adding this recipe to zaar for safe-keeping! make sure you use a very, very sharp knife to make the diagonal slashes. this bread is delicious on its own, for sopping up stew or soup broth, and with your favorite cheeses or toppings. prep time specified includes rising time.","[350, 101, 225, 290, 1007, 543, 217]",7,french
527,soft as wonder   white bread,490,30,160019,2006-02-04,"[4, 306, 80, 230, 135, 35, 90, 168, 136, 325, 170]","[162.0, 5.0, 12.0, 9.0, 8.0, 5.0, 9.0]",6,"['add ingredients in order given', 'select dough cycle', 'when done , take out dough and on a floured surface , shape into loaf and place in loaf pan', 'let rise in a warm place for approximately 40 minutes until doubled in size', 'bake on centre rack of preheated 350 degree oven for 25-30 minutes', 'cool on wire rack before slicing']","this is my standard loaf of white bread, good for anything.  very soft.  i mix it in the bread machine then bake it in the oven.
as with all my bread, i let it cool and then slice the whole loaf and put in a freezer bag and freeze and then i can take whatever i need out and have fresh bread. this does not include machine and rising time.","[101, 225, 290, 177, 1007, 713, 2, 3]",8,
543,swiss  round steak with onion gravy,347,150,41531,2004-08-31,"[306, 80, 176, 83, 230, 197, 189, 175, 24, 10, 202, 290, 90, 74, 167, 183, 148, 170, 178, 285, 300, 101, 5]","[469.2, 41.0, 6.0, 22.0, 77.0, 43.0, 5.0]",13,"['cut round steak into 6 serving size pieces', 'on a cutting board , dredge pieces with flour , salt and pepper', 'pound flour into the meat with a meat mallet', ""turn pieces , dredge , and pound until they can't hold any more flour"", 'in a large non-stick skillet , heat oil and brown steak pieces on both sides', 'place in a covered casserole', 'add onions and garlic to the skillet', 'saute until onions are limp', 'place onions and garlic over steak pieces in casserole dish', 'add enough beef broth to barely cover meat', 'the flour from the meat will thicken the broth as it bakes and will make its own gravy', 'bake at 300f for 2 hours or until fork-tender', 'serve over noodles or mashed potatoes']","we always called this ""salisbury steak"", but it does not have tomatoes. comfort food at it's best...","[257, 1001, 225, 851, 645, 495, 752, 941]",8,north-american
574,whatever floats your boat  brownies,387,35,37305,2002-06-25,"[7, 306, 80, 176, 230, 197, 110, 88, 174, 202, 95, 27, 228, 105, 156, 214, 316, 76, 63, 21, 41, 90, 74, 148, 300, 307, 101, 193, 231]","[390.7, 30.0, 161.0, 7.0, 12.0, 50.0, 17.0]",14,"['preheat oven to 350f', 'grease an 8 inch square pan or line with foil', 'in a medium bowl combine melted butter and cocoa and stir until cocoa is dissolved', 'add sugar and mix well', 'add eggs one at a time and stir until well combined', 'stir in vanilla , flour and salt until you no longer see any flour', 'fold in ""whatever floats your boat"" !', 'spread in pan and bake for approximately 25 minutes', 'do not over-bake -- your brownies will come out dry', 'adjust time / temp accordingly for your oven', 'if you do the knife / toothpick test , it should come out with moist crumbs , not clean', 'cool completely before cutting into squares', 'for vegetarian omit the marshmallows', 'for double recipe , bake in 9x12 pan and add 5 minutes to baking time']","these are absolutely the chewiest, moistest, fudgiest brownies ever! i have tried adding so many different things to the batter, and they always comes out great.  they are also great without any add-ins! but by varying the add-ins, you can make different brownies every week (or day!!) super easy prep! so, add ""whatever floats your boat"" and you will not believe how yummy they come out :) oh, and the recipe doubles just fine--use a 9 x 13 inch pan instead and add a few more minutes of baking!","[691, 125, 2, 441, 815, 1001, 225, 959, 532, 339, 715, 192, 730, 403]",14,
602,get up   go  bars,219,10,21752,2003-05-27,"[2, 306, 80, 230, 197, 110, 36, 88, 95, 27, 157, 214, 314, 316, 76, 21, 290, 90, 39, 307, 46, 101, 193]","[245.2, 12.0, 54.0, 6.0, 12.0, 6.0, 13.0]",6,"['line a 9"" x 13"" baking dish with foil and coat the foil with nonstick cooking spray', 'in a large saucepan , combine the sugar , corn syrup , and peanut butter over medium-high heat', 'bring to a boil and cook for 1 minute , stirring constantly', 'add the remaining ingredients', 'mix well then spread evenly into the prepared pan', 'let cool then cut into bars and serve , or cover until ready to serve']","i found these at the mr. food site. my friends says they really are called get up and go bars because with all the fiber, you really will have to get up and run! especially if you have one of these bars with your first morning cup of coffee!","[2, 926, 113, 828, 294, 231, 681]",7,
673,panera bread  black bean soup,449,25,18391,2003-01-03,"[4, 306, 80, 176, 83, 230, 197, 189, 135, 174, 175, 270, 23, 315, 10, 95, 91, 103, 144, 156, 169, 323, 108, 290, 90, 78, 199, 168, 259, 172, 166, 74, 148, 31, 136, 170, 192, 300, 101, 266]","[241.4, 1.0, 9.0, 32.0, 29.0, 1.0, 14.0]",9,"['in a pot , combine the first six ingredients', 'simmer for 10 minutes', 'add half a can of beans , salt and cumin', 'cook for 5 minutes', 'puree soup', 'add the rest of the beans to the soup', 'combine the cornstarch with 1 1 / 2 tablespoons of water', 'add the lemon and the cornstarch to the soup', 'cook until thickened']","this is my own version of panera bread's black bean soup. it tastes a lot like it, and i love it! use vegetable stock to make it vegetarian.","[495, 752, 25, 1002, 602, 585, 557, 225, 889, 454, 642]",11,north-american
681,shrimp  cocktail sauce,401,5,22973,2002-04-27,"[2, 306, 80, 176, 230, 171, 135, 252, 75, 258, 95, 188, 169, 264, 90, 168, 172, 166, 255, 170, 262, 193, 3, 301]","[163.9, 0.0, 150.0, 92.0, 5.0, 0.0, 14.0]",2,"['mix all ingredients and chill', 'when ready to serve dip shrimp and enjoy']",this is an easy to make shrimp sauce. it makes about 1 1/2 cups.,"[316, 666, 788, 772, 225, 851]",6,
684,super healthy  chewy granola bars,200,45,297023,2006-02-27,"[7, 306, 80, 230, 124, 36, 174, 268, 90, 173, 168, 136, 170]","[223.8, 16.0, 44.0, 3.0, 10.0, 6.0, 9.0]",13,"['preheat oven to 350f', 'toast oats for 5 minutes in a dry skillet over medium heat', 'let cool', 'in a large bowl , combine dry ingredients and whisk together until well combined', 'in a separate bowl , whisk together wet ingredients until well blended', 'add wet mixture to dry ingredients and blend gently until well moistened', 'add any of the suggested additions now', 'mixture should be moist but not too wet', 'if it seems too dry and crumbly , add a little more applesauce', 'line a 9in x 13in pan with parchment paper and press mixture into pan', 'bake at 350f for 30 minutes', 'cut into bars while warm , but let cool completely before removing from pan', 'suggested additions : chocolate chips , raisins , unsweetened shredded coconut , sunflower seeds , pumpkin seeds , dried fruit , chopped toasted nuts']","this is a base recipe that is full of nutrient rich ingredients but yet is not overly sweet.  the result is a chewy, almost cake-like granola bar though not at all similar to any that you would find in the supermarket.  this recipe is pretty flexible so don't hesitate to modify to suit your tastes.  

for a vegan version, replace the honey with maple syrup.  and, try some of the suggested additions.

(updated march 2008)","[294, 375, 77, 225, 504, 181, 995, 645, 177, 718, 262, 118]",12,
749,1 pan fudge cake,294,30,22015,2002-05-31,"[4, 306, 80, 176, 83, 230, 197, 189, 171, 88, 174, 10, 202, 95, 228, 91, 137, 144, 156, 157, 214, 314, 316, 44, 94, 63, 90, 121, 65, 133, 187, 168, 74, 146, 235, 245, 313, 136, 170, 300, 307, 101]","[369.6, 26.0, 120.0, 15.0, 6.0, 10.0, 17.0]",5,"['preheat oven to 350 degrees', 'in an ungreased 9 x 13 pan- yes ungreased , sift all dry ingredients', 'add the liquids and stir just until blended', 'bake for 25 minutes', ""frost with your favorite frosting , cake is extremely moist so care must be taken that you don't tear up the top of the cake""]","this is my favorite chocolate cake. no fuss, no mess and very moist. back in the early days when it was paycheck to paycheck, this simple dessert made it into his lunchbox many a day because it was cheap and simple. no eggs, no milk.","[2, 326, 444, 1001, 225, 815, 998, 101, 689]",9,north-american
760,1 2 3 4  tater tot casserole,257,70,12619,2004-11-10,"[306, 80, 176, 230, 6, 52, 175, 24, 227, 315, 202, 95, 27, 156, 90, 199, 128, 178, 101, 5]","[535.4, 44.0, 2.0, 39.0, 62.0, 56.0, 12.0]",9,"['preheat oven to 350f', 'brown ground beef until all pink is gone', 'drain any grease', 'put ground beef in the bottom of a greased 13x9x2-inch pan', 'spread cream of mushroom soup on top of ground beef', 'cover with grated cheese', 'top with tater tots', 'cover with foil and bake covered 45 minutes', 'uncover and bake for 15 more minutes']","my husbands friend gave us this recipe. he makes it all the time. he told us about it and gave us the recipe, we tried it and like it. so i thought i would share. i know there are other tater tot casseroles listed, but i did not see this one, so i posted it. this one came from a 4 ingredient cook book.","[366, 837, 143, 832]",4,
764,1 2 3 apple crisp,338,45,140806,2004-09-29,"[7, 306, 80, 176, 230, 171, 135, 68, 88, 117, 90, 173, 170, 13, 218, 208]","[488.2, 20.0, 236.0, 4.0, 11.0, 38.0, 30.0]",8,"['heat oven to 375f', 'lightly grease a 13x9 glass pan', 'cut fruit into slices and layer in bottom of pan', 'mix dry ingredients in a medium sized bowl and then cut in butter with a pastry cutter', 'sprinkle mixture over fruit', 'bake for 30-35 minutes', 'top should be browned', 'serve with ice cream or whipped cream']",you can also use this tantalizing recipe to make peach crisp (which i highly recommend.) very easy and delightful. at its best when served hot. use fresh fruit whenever possible.,"[425, 741, 1001, 498, 504, 181, 691]",7,
794,1 hour ham and bean soup,393,55,62086,2002-12-08,"[131, 7, 306, 80, 176, 83, 230, 197, 189, 174, 175, 270, 23, 222, 10, 95, 323, 108, 290, 199, 259, 178, 101, 266]","[401.7, 18.0, 16.0, 48.0, 61.0, 12.0, 14.0]",13,"['heat vegetable oil in a soup pot', 'add carrots , celery and onion', 'saut for about 4 minutes , just until onion is beginning to soften', 'add ham , saut 2 minutes', 'add garlic , saut one more minute', 'add 3 cups stock , bring to a low boil for about 10 minutes , stirring once or twice', 'meanwhile , in a food processor , combine all but 1 / 2 of a can of beans , including juice , and the tomato sauce', 'process until smooth', 'add remaining stock to processor to thin mixture', 'process to combine', 'add mixture from processor into ham mixture', 'add remaining 1 / 2 can of beans , stir to blend , bring to a boil , lower heat , cover and simmer for 30 minutes', 'serve hot !']","made this one up myself, from a mix of different recipes.  no need to wait for dry beans to soak. you get great homemade soup in about an hour!","[998, 723, 470, 495, 327, 416, 147, 188, 677, 851]",10,north-american
882,100  whole grain wheat bread,474,195,339489,2006-08-08,[0],"[176.4, 6.0, 19.0, 12.0, 10.0, 2.0, 10.0]",30,"['place the first five ingredients in the bowl and mix', 'add: 2 cups 100% whole grain wheat flour', 'mix then add 2 tbs of dry active yeast', 'if your not sure about your yeast proof it in a little warm water first', 'add: 4 cups of 100% whole grain wheat flour', 'mix until the consistency is some what even', 'then continue to slowly add flour 1 / 2 cup at a time until the dough quits sticking to the sides of the bowl', 'it should be tacky to the touch', 'the trick is to have enough consistency to stand up with the least amount of flour so the bread will be fluffy', 'it will most likely be 6 1 / 2 cups but in any case do not exceed 7 1 / 2 cups of wheat flour', 'you can trade one cup of wheat flour for one cup of all purpose white if you wish', ""don't over mix or the bread will be tough"", 'when your dough is finished , leave it in the mixer , cover the bowl and let it rise for about 30-45 minutes', ""the dough will be larger but it doesn't need to double"", 'grease two bread pans with crisco', 'you can also flour the pans to reduce sticking', 'mix the dough again just enough to knock it down at least close to the original size', 'drop the dough on a floured surface so you can work the dough and shape it', ""shape it with your hands to make a nice ball getting enough flour on it so it isn't sticky"", 'divide the ball in half and do it again', ""shape the loaves by turning the dough under it's self over and over"", 'when the dough is shaped the sides and ends will be sealed and all you will see is a nice oblong shaped loaf with smooth sides and top', 'drop the loaves in your bread pans and let them rise until almost doubled', 'bake in a preheated oven at 350 for 36 minutes', 'if you forgot to preheat 41 minutes', 'when done turn the bread out of the pan to a rack to cool', ""you can eat it right away don't wrap it until completely cooled"", 'put in tinfoil to store on the counter', 'if you put it in the refrigerator it will turn into a brick', 'enjoy']",if you like fluffy brown bread this is it. no white flour here. you can use any 100% whole grain wheat flour. i mill my own. this bread is not heavy like most 100% whole wheat breads. if it is you used too much flour and your dough was too stiff. if it flattens out and won't stand up you need more flour. the total amount of flour is usually about 6 1/2 to 7 cups. this recipe has been in my family for years and we all make it. we make a lot more now that we have powerful mixers and the hand kneading is bye bye.,"[684, 587, 177, 293, 225, 568, 401]",7,
